noxchi,russian
"хьо цхьаъ бен даг чоьх вац,","кроме тебя нет никого в моем сердце,"
"хьо соьга хьоьжуш вац,","не смотришь ты на меня,"
"хьо бен сун оьшуш вац,","никто не нужен мне кроме тебя,"
"х1у де ас хууш яц.","что делать мне не знаю."
"алахьа ахь соьга,","скажи мне,"
"сан хьоме дег безам.","милая сердцу любовь,"
"х1у де ас сай дагна?","что мне сделать со своим сердцем?"
"х1у де ас безамна?","что мне сделать со своей любовью?"
"безамца къийсинарг","спорящий с любовью"
"цкъаа тоьлла вац,","никогда не побеждал,"
"сан безам, сан безам","моя любовь, моя любовь,"
"хьохь яла са ницкъ бац,","нет сил расстаться с тобой."
"безамо 1овжина дог","ужаленное любовью сердце,"
"молхно тодийр дац","не вылечить лекарством."
"сан безам, хьохь яла","моя любовь, с тобою нет"
"са ницкъ бац.","сил расстаться."
"хьо гари са туьйсуш, н1абарха сам йюлу,","тоскуя увидеть тебя, просыпаюсь ото сна,"
"даг чура ца волуш, тилйелла со лела,","оттого что не покидаешь моего сердца, блуждаю заблудившись,"
"алахьа ахь соьга, сан хьоме, сан хазниг","скажи ты мне, мой милый, мой красивый,"
"х1у бехк бу са, безам, хьо воцуш ца магар?","виновата ли я, любовь, что не могу без тебя"
"нани бера д1аскъастор мел хала ду хаа,","известно, как тяжела разлука матери и дитя,"
"хьо виц ва, хьо вита цул хала ду суна","забыть тебя, тебя оставить еще сложнее для меня."
"боданяхь некъ лоьхуш, б1арзвелла таг санна,","ища дорогу во тьме, словно слепец,"
"безамо б1арзина, хиза со тахана.","ослепленная любовью мучаюсь сегодня я."
"Са безам хьохь яла са ницкъ бац.","Моя любовь, нет сил оставить тебя."
"Вайн дегнех кхерсташ ю алу,","В наших сердцах пылает огонь,"
"Вайн ирсан дайъина доь,","Мы потеряли свое счастье,"
"Ларйойла хьо везчу Дала,",Береги тебя Всевышний!
"Бусулба сан Нохчийчоь!Дог доьхна бер санна, г1ийла,",Правоверная моя Чечня!
"Дог доьхна бер санна, г1ийла,","Как ребенок без настроения,"
"Оллалой ма хьежа соьга,","Не смотри на меня грустно,"
"Хьан седа лепийта сирла,",Чтобы звезда твоя горела ярко
"Со лойла хьан, Нохчийчоь!",Я принесу тебе в жертву себя!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
"Ларъе везчу Дала, хьо!",Храни тебя Всевышний!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Йохийна, х1оттор яц гуора,","Сломив тебя ты не станешь на колени,"
Турпалла бей тур бац хоь,"Не дадим сломить твою гордость,"
"Йиш яц дашо малх хьан кхола,","Невозможно твое золотое солнце победить,"
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Даш кхетта эгча, син метта,","Пуля попавшая в душу,"
"Маршаллаш кхоьхьуьйташ хьоь,","Посылая тебе привет,"
"Леш болчу хьан к1ентийн метта,","Вместо твоих погибающих сыновей,"
"Со лойла хьан, Нохчийчоь!",Я приношу тебе в жертву себя!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
"Ларъе везчу Дала, хьо!",Храни тебя Всевышний!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Лечано хелхар деш говза,","Когда видишь танцующий сокол искусно,"
"Баланаш, г1айг1анаш тоь.",Притупляются горе и боль.
"Махкана дерриг ду ловзар,",Для Родины - это веселье
"Елало, сан Нохчийчоь!",Улыбнись моя Чечня!
"Вайн дегнех кхерсташ ю алу,","В наших сердцах пылает огонь,"
"Вайн ирсан дайъина доь,","Мы потеряли свое счастье,"
"Ларйойла хьо везчу Дала,",Береги тебя Всевышний!
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Иордани, Иордани","Иордания, Иордания"
Гене суна ганза мохк,"Далекий край, который я не видел"
Бахнаш тесна Башлаш аре,Ушедшим с просторов Башлаша
Муха беха хьуна чохь?,Как живется им у тебя?
Йицъеллий-те Кавказ царна,Забыли ли они Кавказ?
Дицделлий-те шовданаш,Забыли ли родники?
Дегахь юй-те царахь цхьаннаъ,Помнит ли кто нибудь из них
"Ваьхна юрт, я дедайн каш","Аул, где родились или предков могилы"
Дерриге я дац а делла,Позабыли ль все что было
"малхо боттуш, боцу-те",Под палящим солнцем
"Я ирс льохуш, хьаьвда лелла","Или в поисках счастья, гоняясь за ним"
Г1амарш хегош доккху де,В песке копавшись день за днем
Йицъеллий-те тулг1еш Теркан,"Не забыли ль волны Терека,"
Дегахь дуй-те Орга хи?,Помнят ли реку Аргун
Хезча холкъан илли декаш,Слыша родные мелодии
Хьодий-те хьа б1аргех хи?,Слезятся ль глаза?
Маршо йоцуш Даймохк боцуш,"Без спокойствия, без Родины"
Хийра мохкахь дисе-те,В чужой стране неужто вы остались
"Ловзарш хаьдда, хелхарш доцуш","Нет свадеб, нет танцев"
Сатийсаран яйна ц1е,В ожидании гаснет огонь
Ларделлий-те г1иллакх къоман,Сохранили ль народный обычай
Бицбеллий-те ненан мот?,Не забылиль язык матери
Парг1ато а вайн дай лома,"Известно ли им, что в горы предков"
"Кхачар хаьий, юй-те чот",Свобода пришла?
Аса боху делхийтийша,Я говорю пусть льется
Дашо дог1а кхечанхьа,Дождь золотой где угодно
Со сайн мохкахь аш витийша,Оставьте меня где угодно
"Т1улгаш делхарх, билларх ша.",Даже если капли от плача будут ледянеть
noxchi,russian
Синкъераме гулдела ду,Мы собрались на вечеринку
Хаза суьйре вай хьура ю,Мы хорошо проведем вечер
"Вай безамаш хоржура бу,",Мы определимся с симпатиями
Шайна везарг къастора ву,"И выберем того, кого любим"
До 1аш воллу и хаза къант,"Вон тот парень, который сидит"
И мел хаза хета суна.,Как он мне нравится.
Хьо кхечунга д1а ма хьежа,Ты на других не смотри
Со ойлане ахь ма йита. ,Не вгоняй меня в раздумье.
Аьлла соьга мичхьара ву,Скажи мне откуда он
Муьлхач нахах схьавелла ву,"Из каких людей он вышел, какого рода"
Сийнач стигал ялла йоллу,Я уже готова на синее небо забраться
Везчу деле веха йолу. ,И у Аллаhа просить его себе.
"Со хьоьга бе яхьа гур яц,",Я смогу только за тебя выйти замуж
"Хьо воц чуьнца яха гур яц,",Ни с кем кроме тебя жить не смогу
Безам бохург хала хъум ду,Любовь вещь сложная
И массера лазама бу. ,И у всех она болью есть...
"Лаьтта со г1айг1ане, дагара дуьйцуш.","Стою я в печали, сердечно говоря"
"Маьл хилларш, маьл лайнарш безамца дуьйцуш.","Что было, что пережито с любовью говоря"
Хьа б1аьрге к1оргенехь са дахар деттало.,В глубине твоих глаз моя жизнь стучит
Безамо кхуллу ирс даимна хетало.,Любовью сотворенное счастье кажется всегда
Хьа г1айг1а даима лозу са дагна,Твоя печаль всегда причиняет боль моему сердцу
"Хьа ц1арах жима дог са кийрахь даьгна,",Твоим именем маленькое сердце в груди моей сгорело
"Амма сай до1анехь,сайна чу хьалха,",Но в молитве своей прежде чем себе
Аз Деле даггара ирс доьху хьуна.,Я у Бога счастья искренне тебе прошу
"Эрна ца хиллера, хьо суна вовзар.",Не зря было мое знакомство с тобой
Безаман хелхарехь вай цхьана хьовзар.,В любовном танце мы кружились с тобой
"Дахаран некъашца, хьоьх доьзнаг хилла ду.",Дороги жизни с тобой связаны мы
"Хьо лаьттахь мел веха, со ирсе ехар ю.","Сколько ты будешь жить на земле, я буду счастливо жить"
Доьххьара хьо гича нур догу б1аьргашна,Впервые когда увидели тебя мои глаза
Ц1еххьана безамо ов туьйхира,Внезапно кольнуло в сердце от любви
Ойла д1а ийцира синтемах яькххина,"Мысли унес, покоя лишил"
Сай деган къайленаш ас хьоьга йийцира ,То что я скрывала в сердце я тебе рассказала 
Кхолламан стиглара къегира седа,Звезда судьбы на небе засияла
Сан ирсан дакъа хиллера хьо,Ты оказался частичкой моего счастья
Сан ирс хиллера хьо,Оказался счастьем моим
Вай къастахь лан лур дац сан даге теша,"Нашу разлуку не перенесет мое сердце, поверь"
Сан ирсан дакъа хиллера хьо,Живу я твоим именем дыша
Сан ирс хиллера хьо,Ради тебя я живу
Ахь хаза дийцира со хьайха теша еш,"Ты красиво рассказывал,и заставлял верить в себя"
Б1аьстенан йовхо луш сан дахарна,Весеннее тепло давая моей жизни
Веларца хьаьжча хьо сан беснеш яга еш,Когда с улыбкой посмотрел на меня
Мархашка делира къона дог кийрара ,К облакам поднялось мое маленькое сердечко 
Кхолламан стиглара къегира седа,Звезда судьбы на небе засияла
Сан ирсан дакъа хиллера хьо,Ты оказался частичкой моего счастья
Сан ирс хиллера хьо,Оказался счастьем моим
Вай къастахь лан лур дац сан даге теша,"Разлуку нашу не перенесет мое сердце, поверь"
Хьан ц1арца са доь1уш ехаш ю со,Живу я твоим именем дыша
Хьан дуьхьа ехаш ю со,Ради тебя я живу
Кхолламан стиглара къегира седа,Звезда судьбы на небе засияла
Сан ирсан дакъа хиллера хьо,Ты оказался частичкой моего счастья
Сан ирс хиллера хьо,Оказался счастьем моим
Вай къастахь лан лур дац сан даге теша,"Разлуку нашу не перенесет мое сердце, поверь"
Сан ирсан дакъа хиллера хьо,Живу я твоим именем дыша
Сан ирс хиллера хьо,Ради тебя я живу
Ехаш ю со. ,Ради тебя я живу
"Йуха а тӏеман къахь вайн махкахь гӏаьтти,",Снова смрад войны над нашей землёй встал
"Йуха а гуш ма йу гӏаланаш йогуш,","Снова видно как горят города,"
"Оьгуш бу маьрша нах шокъалли кхетта,","Падают свободные люди от попадания пуль,"
Йуха а наной бу кӏенташна боьлхуш.,Снова матери по сыновьям плачут.
"Массо а гийча ву къаръеш а харцо,","Всё мы навстречу побеждая врагов,"
"Тӏом бан а, вала а шен халкъан сийна,","готовы покоряя несправедливость, воевать и умирать ради чести нации,"
"Цхьаннан ницкъ кхочур бац вайх лай дан, дацо,","Ни у кого не хватит сил сделать нас рабами и использовать,"
Хьоьшур йац мостагӏчо вайн бецаш сина.,Не топтать врагу наших трав зелёных.
"Догӏмаш а нисдина, гуора ца оьгуш,","Выпрямив спины, не падая на колени,"
"Гур ду вай доьхьала, мостагӏий эшош,","Пойдём мы навстречу побеждая врагов,"
"Халонаш ловр а йу Даймехкан доьхьа,","Трудности вытерпим ради земли отцов,"
"Маьрша а дехар ду, девр а ду хелха.",Свободно будем жить и будем танцевать.
"Еха йац дуьнен чохь йоккху хан цхьаммо,","Никто не проживет в этом мире длинную жизнь,"
Хӏоранна лууш ду ирс долуш ваха.,"Каждый хочет жить счастливо,"
"Вай-м ца гӏиртина цкъа нехан цӏий ӏано,","Мы не пытались никогда пролить чужую кровь,"
Xӏappa бен дуьнен чохь меттиг йац даха.,Кроме этой земли нет у нас в мире места.
"Тахана вайн махкахь тӏеман кӏур гӏаьтти,","Сегодня над нашей землёй встал дым войны,"
"Йуха а луьра герз Даймахкахь дуьйлу,","Снова грозное оружие на земле отцов стреляет,"
"ӏожаллин дӏовш хӏинца вайна тӏе детта,","Яд смертельный и сейчас в нас попадает,"
"Баланехь хьийзаш бу вайн наной, боьлхуш.",В горести наши матери плачут.
Ма хаза хийти суна хьо гина тахна,"Я так обрадовалась, увидев тебя сегодня,"
Са ц1е а йоккхуш ахьа соь де дика дина,"Произнося мое имя,ты пожелал мне доброго дня."
Хьалхачул а х1инца суна г1аьхьчул хьоьх эхь хийтира,"И сейчас я постеснялась больше, чем когда-либо,"
"Г1иллакх хьоьхь даимна хилла олу хьоьга ""баркалла""","Вежлив ты был всегда, говорю тебе за это ""Спасибо""."
Йиш елахь цхьажимма соьца латтахьа ас доьху хьоьга,"Если можешь, постой со мной еще немного, я прошу."
Ма хаза хити хьо гина сих-сиха тхо долчу кхача,"Как рада тебя видеть, приходи к нам почаще."
Дог кийрара са хьийзош са ойланаш вовшех хьерча,"Сердце мое мучается, мысли перепутались,"
Къурдаша дош а сецош хьоьга хьоьжуш мотт са керча,"Не могу вымолвить ни слова, на тебя смотрю язык путается"
Йиш елахь цхьажимма соьца латтахьа ас доьху хьоьга,"Если можешь, постой со мной еще немного, я прошу."
Ма хаза хити хьо гина сих-сиха тхо долчу кхача,"Как рада тебя видеть,приходи к нам почаще."
Са дагна ца лаьа кху дуьненахь доьхна диса,Мое сердце не хочет быть в этой жизни разбитым
Доьлучу даге ладоьг1уш кху дуьненахь ехаш хета,"Кажется, что живу, прислушиваясь к радующемуся сердцу."
Йиш елахь цхьажимма соьца латтахьа ас доьху хьоьга,"Если можешь, постой со мной еще немного, я прошу."
Ма хаза хити хьо гина сих-сиха тхо долчу кхача,"Как рада тебя видеть, приходи к нам почаще."
"Дахаро чехош, елхош кху дуьненахь со хьизина","Жизнь меня мучала и ругала, заставляя плакать."
Са кийрара и жима дог дохо хьуна пурб ца делла,Это мое маленькое сердце разбивать тебе право не давали.
Йиш елахь цхьажимма соьца латтахьа ас доьху хьоьга,"Если можешь, постой со мной еще немного, я прошу."
Ма хаза хити хьо гина сих-сиха тхо долчу кхача.,"Как рада тебя видеть, приходи к нам почаще."
"Ас цкъа ца лехнера дуьненан атталла,",Я никогда не искал легкости жизни.
"Ца вала хьаьжар со хьаьшначу некъахь,","Старался не ходить по протоптанным дорогам,"
"Сайгара ца хууш даьллачу гӏалатна,","Ошибки, совершенные мною нечаянно,"
Барт хаттам оьцу ас ца вуьлуш декъах.,"Я осуждаю, не снимая с себя долю вины."
"Наггахь а куралло ойланаш яйтарах,","Если иногда у меня бывают гордые мысли,"
"Бӏаьргашна гушдериг шовкъалле дерзош,","Воодушевляюсь тем, что вижу глазами,"
"Цуьнц долу гергарло сайна ца дезарна,","Потому, что не приемлю родство с этим,"
"ӏилмане воьрзур со, цуьн маьӏна хестош.","Я обращался к науке, восхваляя её значимость."
"Дахара къайлоннна тӏаьхьа ца кхиарах,","Хоть и не разгадал тайну жизни,"
"Гӏайгӏане ца воьжна,бохабеш лам","Не ушел в печаль, разбивая горы,"
"Дала хьаделлачун тоам бан гӏиртина,","Старался удовлетвориться тем, что дал Бог."
ӏехвалар дуьненан ца бузу ӏам.,Обманувшись не наполняется озеро жизни.
"Дикачу доттагӏчу диначу тоьшална,","За свидетельство данное хорошим другом,"
"Са дала кийча вар, цуьн дош ца дохош,","Готов был отдать душу, чтобы не нарушить его слово."
"Ямартло туьйсучу харцонна уьйрашна,","Сеющие коварство, неверные связи,"
"Доьхьала вуйлура, цера стом хедош.","Противился им, пресекая их плоды."
"Халонах озавелла юха ца вирзина,","Испугавшись трудностей, не поворачивал назад."
"Тӏаьхьалон дош ала ца дуьтуш бахна,",Не давая причины сказать последнее слово.
"Де, нена сий а дар коьрталле лерина","Считая главным почитание родителей,"
Цу шине пурбанца сайн некъаш даьхьна.,С их согласия выбирал свои дороги.
"Дахара къайлоннна тӏаьхьа ца кхиарах,","Хоть и не разгадал тайну жизни,"
"Гӏайгӏане ца воьжна,бохабеш лам","Не ушел в печаль, разбивая горы,"
"Дала хьаделлачун тоам бан гӏиртина,","Старался удовлетвориться тем, что дал Бог."
ӏехвалар дуьненан ца бузу ӏам.,Обманувшись не наполняется озеро жизни
"Дахара къайлоннна тӏаьхьа ца кхиарах,","Хоть и не разгадал тайну жизни,"
"Гӏайгӏане ца воьжна,бохабеш лам","Не ушел в печаль, разбивая горы,"
"Дала хьаделлачун тоам бан гӏиртина,","Старался удовлетвориться тем, что дал Бог."
ӏехвалар дуьненан ца бузу ӏам.,Обманувшись не наполняется озеро жизни.
Ма ала безамо,не говори любовь
багор бац кийра,жечь не будет душу
Ю цуьна шен зама,есть у неё своа пора
Хилалахь кийча,будь готова.
Хи эца йоьду со,воды набрать иду я
Сан дог ду шовда,моё сердце родник
Д1аэца хин метта,набери вместо воды
Даг т1ера безам,из сердца любви
Сан деган корах чу,моего сердца в окно
Хьоьжуш бац седа,не заглядывает звезда
Ша долчу цунах къа,одинокого его
Ца хета хьуна,не жаль тебе
"Мел йогӏу буьйса кхоьлина йогӏу,","Каждая приходящая ночь приходит пасмурной,"
Стиглара мархаш елха еш.,Заставляя плакать облака в небе.
"Цхьа ӏаьржа марха къилбехьа йолу,","Одна чёрная туча отходит на юг,"
Дуьнена гӏийла ойла еш.,С грустью думая о жизни.
"Цхьа ӏаьржа марха къилбехьа йолу,","Одна чёрная туча отходит на юг,"
Дуьнена гӏийла ойла еш.,С грустью думая о жизни.
"Седарчий стиглахь гучу ца довлу,","Звёзды в небе не показываются,"
Со шайна гушшехь хьо ларйеш.,"Хотя и видят, что я жду тебя."
"Мел дехарх маьлха догӏа ца догӏу,","Как ни прошу, не идёт солнечный дождь,"
Лозучу дагна гӏоле еш.,Чтобы облегчить боль моего болящего сердца.
"Мел дехарх маьлха догӏа ца догӏу,","Как ни прошу, не идёт солнечный дождь,"
Лозучу дагна гӏоле еш.,Чтобы облегчить боль моего болящего сердца.
"Хьо йолчу агӏор мархаш зарзйина,","С твоей стороны, разорвав тучи,"
Лаьар-кха кхета бетта са.,"Хотелось бы, чтобы проглянул свет луны."
"Маржа йаӏ тховса, хьан дагара хиъна,","Если бы сегодня вечером узнав о твоих чувствах,"
Цӏа верза йиш елар-кха сан.,Я мог бы вернуться домой.
"Маржа йаӏ тховса, хьан дагара хиъна,","Если бы сегодня вечером узнав о твоих чувствах,"
Цӏа верза йиш елар-кха сан.,Я мог бы вернуться домой.
ДIо кIайн гата хIорда-кеман,Белеет парус одинокий
Къеста сенчу дахкарлахь...,В тумане моря голубом...
Цо хIун лоьху цIенна генахь?,Что ищет он в стране далёкой?
Цо хIун дитна генна цIахь?,Что кинул он в краю родном?
"ХIорд тулгIбуьйлу, мохо лоькхуш,","Играют волны - ветер свищет,"
"Чардакх сетта, цIийза и.",И мачта гнётся и скрипит...
"ХIан-хIа, цо я ирс ца лоьху,","Увы, - он счастия не ищет"
Я ирсах ца уьду кхин.,И не от счастия бежит!
"Сенчу хи тIехь маьрша доьду,","Под ним струя светлей лазури,"
Дашо малх бу хьоьжуш тIе.,Над ним луч солнца золотой
"Ткъа тем боцчу цо дарц доьху,","А он, мятежный, просит бури,"
Дорцехь хуьлуш санна тем.,Как будто в бурях есть покой!
"КIай цхьалха четар дахкарлахь деха,",Белеет парус одинокий
Сийналлехь хIордан муьрг етташ еха!..,В тумане моря голубом...
Хийрачу арахь хIун дагахь – каро?,Что ищет он в стране далёкой?
Хьомечу махкахь Iан яц-те таро?,Что кинул он в краю родном?
"ТулгIенаш ловзу, мохо шок етта,","Играют волны - ветер свищет,"
"Ткъа чардакх цIийза, кхераме сетта…",И мачта гнётся и скрипит...
"Амма и лелац, ирс лехам хилла,","Увы, - он счастия не ищет"
"Я ирсах хаьдда, дисина тилла!",И не от счастия бежит!
"Цунна ю бухахь тIайра бос сирла,","Под ним струя светлей лазури,"
ТIехула – дашо зIаьнарш ю керла…,Над ним луч солнца золотой
"Амма, цо – аьрха, боьху мох буьрса,","А он, мятежный, просит бури,"
Йиш йолуш санна тем бовза цуьнца!,Как будто в бурях есть покой!
"Со цхьа-цхьалха гIоттий новкъаволу,",Выхожу один я на дорогу;
Дахкарлахь дIаIуьллу гIорза некъ;,Сквозь туман кремнистый путь блестит;
"Далла муьтIахь арено ладоьгIу,",Ночь тиха. Пустыня внемлет Богу.
Седа бу цхьаъ дуьйцуш седане.,И звезда с звездою говорит.
Стиглахь ю цхьа Iийдан исбаьхьалла!,В небесах торжественно и чудно!
Сенчу нуьрехь лаьтто наб йо шен.,Спит земля в сияньи голубом…
"Сатийсарна ю-те сиэхь и хало,",Что же мне так больно и так трудно?
Я цхьа хилларг дагахь доллу-те?,Жду ль чего? Жалею ли о чём?
"ХIума дац ас кху дуьнене доьхуш,","Уж не жду от жизни ничего я,"
Юхахьаьжна я тIехиндерг гуш.,И не жаль мне прошлого ничуть;
"ПаргIато ю, синтем бу ас лоьхург,",Я ищу свободы и покоя!
"Тхьовса хьаьгна, ваха виц а луш.",Я б хотел забыться и заснуть!
Амма дац и кошан шийла тхьовсар…,Но не тем холодным сном могилы…
"Гуттаренна вуьжур вара-кх дIа,","Я б желал навеки так заснуть,"
"Дагца яха юьсуш дийна шовкъаш,","Чтоб в груди дремали жизни силы,"
Некхехь паргIат доьIуш маьрша са;,"Чтоб, дыша, вздымалась тихо грудь;"
"Дийнахь, буса лерера ца хедаш","Чтоб всю ночь, весь день, мой слух лелея"
"Безаман йиш лоькху мерза аз,","Про любовь мне сладкий голос пел,"
"Сайна тIе шен сийна гаьннаш кхийдош,","Надо мной чтоб, вечно зеленея,"
Гуттар техка хезаш луьста наж.,Тёмный дуб склонялся и шумел.
Куьзган чохь хьан сурт гучу хенахь —,Твоё отражение в зеркале —
Иза сан уггаре хаз стихотворени ю,"Моё самое красивое стихотворение,"
Хьо сих цалахь иза д1а ер ю,"Но поторопись, пока оно не исчезло,"
"Иза сан т1ехьар лера ""сун хьо вез ду""!",Это моё последнее «люблю тебя»!
"Хаза кIорни, Iилла набъеш,","Спи, младенец мой прекрасный,"
"Олий-болий-лай,",Баюшки-баю.
Сирла бутт бу тийна ларъеш,Тихо смотрит месяц ясный
Хьан кху аган чу.,В колыбель твою.
"Дуьйцур туьйра хьуна ас,","Стану сказывать я сказки,"
"Йиш а локхур ю,",Песенку спою;
"Набъе, хьабдай хьайн бIаьргаш ахь,","Ты ж дремли, закрывши глазки,"
"Олий-болий-лай,",Баюшки-баю.
"ТулгIеш керчош, Терк дIадоьду,","По камням струится Терек,"
"Даьржаш, гIара еш;",Плещет мутный вал;
Дера нохчо берде воьду,"Злой чечен ползёт на берег,"
Болата шаьлта иръеш.,Точит свой кинжал;
"Амма хьан да ву тIам тIехь лелла,","Но отец твой старый воин,"
"Вахчавина ву,",Закалён в бою:
"Iилла, кIорни, паргIат хила,","Спи, малютка, будь спокоен,"
"Олий-болий-лай,",Баюшки-баю.
"ЙогIур ю хан, вахар-тIамца","Сам узнаешь, будет время,"
Хьуна и гур ду;,Бранное житьё;
"Майра дин тIе вер хьо веца,",Смело вденешь ногу в стремя
Топ схьаоьцур ю.,И возьмешь ружьё.
Чилланца ас тIаме воьдуш,Я седельце боевое
Нуьйр хьан кечйийр ю…,Шёлком разошью...
"Хьоме бер сан, Iилла набъеш,","Спи, дитя мое родное,"
"Олий-болий-лай,",Баюшки-баю.
"Гарехь, турпал хир ву дагца,","Богатырь ты будешь с виду,"
"ГIалагIазкхи – сица хир ву,",И казак душой.
"Ас хьо новкъа воккхур веца,",Провожать тебя я выйду —
Куьг ахь лестор ду.,Ты махнёшь рукой...
Къайлах бIаьрхиш ас цу буса,Сколько горьких слёз украдкой
Хийла Iенор ду-кх…,Я в ту ночь пролью!..
"Сан малик, хьо Iиллахь мерза,","Спи, мой ангел, тихо, сладко,"
Олий-болий-лай.,Баюшки-баю.
"Ер ю со сахьийзо хьуна,","Стану я тоской томиться,"
"Тем боцуш хьоьжуш,",Безутешно ждать;
"Сарралц ламазаш ду дийра,","Стану целый день молиться,"
Буьйснашкахь туьдуш.,По ночам гадать;
Суна моьттур ду кхин махкахь,"Стану думать, что скучаешь"
Хьо сахьийзаш ву…,Ты в чужом краю...
"Набъе, гIайгIа йовзале ахь,","Спи ж, пока забот не знаешь,"
Олий-болий-лай.,Баюшки-баю.
"Сийлахь хIайкал, волуш новкъа,",Дам тебе я на дорогу
"Хьоьга ас лур ду,",Образок святой:
"Далла ламаз деш, и ахьа","Ты его, моляся богу,"
Хьалха дуьллур ду.,Ставь перед собой;
Кхерамечу тIамна кечлуш,"Да готовясь в бой опасный,"
Нана дагаян…,Помни мать свою...
"Хаза кIорни, Iилла набъеш;","Спи, младенец мой прекрасный,"
Олий-болий-лай.,Баюшки-баю.
"Сагатло, сахьийза, куьг кховдо я цхьа а вац,","И скучно и грустно, и некому руку подать"
Хьан са цатемаша дуучу дийнахь…,В минуту душевной невзгоды...
"Сатийсар! Вай эрна сатийсарх я пайда бац,",Желанья!... что пользы напрасно и вечно желать?
"Ткъа шераш дIаоьху, вайн тоьлла шераш.",А годы проходят - все лучшие годы!
"Цхьаъ веза… Ткъа мила? Цхьана ханна – и-м хала дац,","Любить... но кого же?.. на время - не стоит труда,"
Гуттар а цхьаъ везар ца делла вайна.,А вечно любить невозможно.
Ахь хьайга ладогIахь? ДIадахнарг я карадац:,В себя ли заглянешь? там прошлого нет и следа:
"Хьан темаш, цатемаш – дерриг ду дорах.","И радость, и муки, и всё там ничтожно..."
"Шовкъ хиларх? Я хьалха, я тIаьхьа и мерза дохк",Что страсти? - ведь рано иль поздно их сладкий недуг
"ДIайолу, хьекъале дош гучудаьлча;",Исчезнет при слове рассудка;
"Ткъа дахар, шийлачу бIаьрсица бIаьрг тохахь вай,","И жизнь, как посмотришь с холодным вниманием вокруг -"
И-м хилла забарна бина цхьа бегаш…,Такая пустая и глупая шутка...
Буьйсана стиглахула малик дара доьдуш.,"По небу полуночи ангел летел,"
"Доьдура и тийна, йиш лоькхуш,","И тихую песню он пел,"
"Седарчаший, баттой, мархаший езачу","И месяц, и звезды, и тучи толпой"
"Эшаре ладогIара, хезачу.",Внимали той песне святой.
"Къинош ца летийна синош сел башха,",Он пел о блаженстве безгрешных духов
"Ялсманийн бошмашлахь, дахарах","Под кущами райских садов,"
"Везчу Делан лекхар йиш цо, ткъа хестор","О Боге великом он пел, и хвала"
Дацара цо харц дагца Iехор.,Его непритворна была.
"Къона са цо шен марахь хьора лаьттах,",Он душу младую в объятиях нёс
БIаьргийн хин гIайгIанан лаьтта;,Для мира печали и слёз;
Къоначу сачух цу эшарах ийна,И звук его песни в душе молодой
"Дисира аз дош доцуш, дийна.","Остался - без слов, но живой."
"Башхачу безамах дуьзна, и даьхна",И долго на свете томилась она
"Сахьийзаш дуьненахь дехха,","Желанием чудным полна,"
Амма сингатме лаьттара иллеш,И звуков небес заменить не могли
Хиланцар стиглан аз дицдеш.,Ей скучные песни земли.
"Лаьмнашна тар туьйсу,",Горные вершины
Буьйса елла Iарж;,Спят во тьме ночной;
ТIуьнчу хIуоно юьзна,Тихие долины
ТуогIеш тийна дIа;,Полны свежей мглой;
"Некъо чан ца йоху,","Не пылит дорога,"
Диттийн гIаш ца хьиэ.,Не дрожат листы…
